SITE,ROW,COLUMN,REPEAT,REGION,REGIONINDEX,DATE,JULIAN,MONTH,YEAR,COUNT,ACCURACY,NOTES,SOURCE
ADMI,1,31,1,SH,1,1/11/10,72,JAN,2009,732,1,,AMLR 2009/2010 Field Season Report
ADMI,1,32,2,SH,1,1/5/11,66,JAN,2010,2755,1,,AMLR 2010/2011 Field Season Report
ARDL,2,34,1,SH,1,xx/xx/2013,NA,NA,2012,166,1,,ASI
PENG,14,29,1,SH,1,1/18/08,79,JAN,2007,11,1,Not used for analysis,ASI
PENG,14,34,1,SH,1,1/12/13,73,JAN,2012,54,1,,ASI
PTHO,16,32,1,SH,1,xx/xx/2010(11),NA,NA,2010,4982,1,,AMLR 2010/2011 Field Season Report
DEVI,8,17,1,NE,2,1/20/96,81,JAN,1995,10320,2,,ASI
DEVI,8,21,1,NE,2,1/13/00,74,JAN,1999,8501,2,,ASI
DEVI,8,23,1,NE,2,1/12/02,73,JAN,2001,5880,3,,ASI
DEVI,8,24,1,NE,2,1/20/03,81,JAN,2002,8500,3,,ASI
DEVI,8,28,1,NE,2,1/13/07,74,JAN,2006,18000,3,,ASI
DEVI,8,30,1,NE,2,1/10/09,71,JAN,2008,20040,1,,ASI from photograph
DEVI,8,32,1,NE,2,1/21/11,82,JAN,2010,7108,1,,ASI
BOOT,4,4,1,CW,3,1/26/83,87,JAN,1982,83,1,,PP87
BOOT,4,22,1,CW,3,1/24/01,85,JAN,2000,18,1,,ASI
BOOT,4,22,2,CW,3,2/4/01,96,FEB,2000,17,1,,ASI
BOOT,4,27,1,CW,3,1/26/06,87,JAN,2005,23,1,,ASI
BOOT,4,29,1,CW,3,1/20/08,81,JAN,2007,14,1,,ASI
BOOT,4,30,1,CW,3,1/2/09,63,JAN,2008,18,1,,ASI
BOOT,4,30,2,CW,3,1/28/09,89,JAN,2008,17,1,,ASI
BOOT,4,31,1,CW,3,2/6/10,98,FEB,2009,17,1,,ASI
BOOT,4,32,1,CW,3,2/2/11,94,FEB,2010,11,1,,ASI
