SITE,ROW,COLUMN,REPEAT,REGIONINDEX,REGION,DATE,JULIAN,YEAR,COUNT,ACCURACY,NOTES,SOURCE
ADMI,1,1,1,1,SH,xx/xx/1979,NA,1979,6728,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,2,1,1,SH,xx/xx/1980,NA,1980,7095,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,3,1,1,SH,xx/xx/1981,NA,1981,9563,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,4,1,1,SH,xx/xx/1982,NA,1982,7688,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,5,1,1,SH,xx/xx/1983,NA,1983,6950,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,6,1,1,SH,xx/xx/1984,NA,1984,8071,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,7,1,1,SH,xx/xx/1985,NA,1985,6870,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,8,1,1,SH,xx/xx/1986,NA,1986,8559,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,9,1,1,SH,xx/xx/1987,NA,1987,8592,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,10,1,1,SH,xx/xx/1988,NA,1988,9663,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,11,1,1,SH,xx/xx/1989,NA,1989,7589,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,12,1,1,SH,xx/xx/1990,NA,1990,5541,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,13,1,1,SH,xx/xx/1991,NA,1991,5721,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,14,1,1,SH,xx/xx/1992,NA,1992,6874,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,15,1,1,SH,xx/xx/1993,NA,1993,6219,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,16,1,1,SH,xx/xx/1994,NA,1994,6000,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,17,1,1,SH,xx/xx/1995,NA,1995,6769,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,18,1,1,SH,xx/xx/1996,NA,1996,5644,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,19,1,1,SH,xx/xx/1997,NA,1997,5612,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,20,1,1,SH,xx/xx/1998,NA,1998,7093,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,21,1,1,SH,xx/xx/1999,NA,1999,5432,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,22,1,1,SH,xx/xx/2000,NA,2000,5154,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,23,1,1,SH,xx/xx/2001,NA,2001,4533,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,24,1,1,SH,xx/xx/2002,NA,2002,3877,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,25,1,1,SH,xx/xx/2003,NA,2003,3066,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,26,1,1,SH,xx/xx/2004,NA,2004,2679,1,,Wayne Trivelpiece (personal comm.)
ADMI,1,31,1,1,SH,11/16/09,16,2009,2102,1,,AMLR 2009/2010 Field Season Report
ADMI,1,32,1,1,SH,11/5/10,5,2010,2793,1,,AMLR 2010/2011 Field Season Report
ARDL,2,2,1,1,SH,xx/xx/1980(81),NA,1980,1056,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,3,1,1,SH,xx/xx/1981(82),NA,1981,1314,1,Est. accuracy,W00 and MP for ASPA No. 150
ARDL,2,5,1,1,SH,xx/xx/1983(84),NA,1983,1074,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,6,1,1,SH,xx/xx/1984(85),NA,1984,1331,1,Est. accuracy,W00 and MP for ASPA No. 150
ARDL,2,7,1,1,SH,xx/xx/1985(86),NA,1985,929,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,8,1,1,SH,xx/xx/1986(87),NA,1986,1160,1,Est. accuracy,W00 and MP for ASPA No. 150
ARDL,2,16,1,1,SH,xx/xx/1994(95),NA,1994,1095,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,17,1,1,SH,xx/xx/1995(96),NA,1995,1226,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,18,1,1,SH,xx/xx/1996(97),NA,1996,923,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,19,1,1,SH,xx/xx/1997(98),NA,1997,1173,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,20,1,1,SH,xx/xx/1998(99),NA,1998,1192,1,Est. accuracy,W00 and MP for ASPA No. 150
ARDL,2,21,1,1,SH,xx/xx/1999(00),NA,1999,974,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,22,1,1,SH,xx/xx/2000(01),NA,2000,880,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,23,1,1,SH,xx/xx/2001(02),NA,2001,780,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,24,1,1,SH,xx/xx/2002(03),NA,2002,771,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,25,1,1,SH,xx/xx/2003(04),NA,2003,559,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,26,1,1,SH,xx/xx/2004(05),NA,2004,409,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,27,1,1,SH,xx/xx/2005(06),NA,2005,334,1,Est. accuracy,MP for ASPA No. 150
ARDL,2,36,1,1,SH,12/11/14,41,2014,260,1,,ASI
LLAN,13,1,1,1,SH,xx/xx/1979(80),NA,1979,15013,2,Assume acc=2,Jablonski 1984
LLAN,13,2,1,1,SH,xx/xx/1980(81),NA,1980,7095,2,Assume acc=2,Jablonski 1984
LLAN,13,3,1,1,SH,xx/xx/1981(82),NA,1981,7805,2,Assume acc=2,Table from Tom Hart
LLAN,13,4,1,1,SH,xx/xx/1982(83),NA,1982,7316,2,Assume acc=2,Table from Tom Hart
LLAN,13,6,1,1,SH,xx/xx/1984(85),NA,1984,7673,2,Assume acc=2,Table from Tom Hart
LLAN,13,7,1,1,SH,xx/xx/1985(86),NA,1985,6870,2,Assume acc=2,Table from Tom Hart
LLAN,13,8,1,1,SH,xx/xx/1986(87),NA,1986,7844,2,Assume acc=2,Table from Tom Hart
LLAN,13,10,1,1,SH,xx/xx/1988(89),NA,1988,8618,2,Assume acc=2,Table from Tom Hart
LLAN,13,11,1,1,SH,xx/xx/1989(90),NA,1989,5920,2,Assume acc=2,Table from Tom Hart
LLAN,13,12,1,1,SH,xx/xx/1990(91),NA,1990,6820,2,Assume acc=2,Table from Tom Hart
LLAN,13,13,1,1,SH,xx/xx/1991(92),NA,1991,7318,2,Assume acc=2,Table from Tom Hart
LLAN,13,14,1,1,SH,xx/xx/1992(93),NA,1992,6180,2,Assume acc=2,Table from Tom Hart
LLAN,13,15,1,1,SH,xx/xx/1993(94),NA,1993,6100,3,,WC97
LLAN,13,16,1,1,SH,xx/xx/1994(95),NA,1994,5420,2,Assume acc=2,Table from Tom Hart
LLAN,13,17,1,1,SH,xx/xx/1995(96),NA,1995,6129,2,Assume acc=2,Table from Tom Hart
LLAN,13,18,1,1,SH,xx/xx/1996(97),NA,1996,6562,2,Assume acc=2,Table from Tom Hart
LION,11,2,1,1,SH,xx/xx/1980(81),NA,1980,12345,1,Assumed accuracy based on precision of data.,Korczak-Abshire et al. 2012
LION,11,3,1,1,SH,xx/xx/1981(82),NA,1981,13580,1,Assumed accuracy based on precision of data.,Korczak-Abshire et al. 2012
LION,11,16,1,1,SH,xx/xx/1994(95),NA,1994,7113,1,Assumed accuracy based on precision of data.,Korczak-Abshire et al. 2012
LION,11,17,1,1,SH,xx/xx/1995(96),NA,1995,7825,1,Assumed accuracy based on precision of data.,Korczak-Abshire et al. 2012
LION,11,18,1,1,SH,xx/xx/1996(97),NA,1996,8882,1,Assumed accuracy based on precision of data.,Korczak-Abshire et al. 2012
LION,11,30,1,1,SH,xx/xx/2008(09),NA,2008,4216,1,Assumed accuracy based on precision of data.,Korczak-Abshire et al. 2012
LION,11,31,1,1,SH,xx/xx/2009(10),NA,2009,3661,1,Assumed accuracy based on precision of data.,Korczak-Abshire et al. 2012
LION,11,32,1,1,SH,xx/xx/2010(11),NA,2010,3751,1,Assumed accuracy based on precision of data.,Korczak-Abshire et al. 2012
PENG,14,1,1,1,SH,12/xx/1979,NA,1979,1710,1,Est. accuracy,Sander et al. 
PENG,14,2,1,1,SH,12/xx/1980,NA,1980,3114,3,,Sander et al. 
PENG,14,2,2,1,SH,12/xx/1980,NA,1980,3425,1,Est. accuracy,Sander et al. 
PENG,14,18,1,1,SH,11/30/96,30,1996,2015,2,,ASI
PENG,14,19,1,1,SH,12/1/97,31,1997,2443,1,,ASI
PENG,14,21,1,1,SH,1/xx/2000,NA,1999,2390,1,Est. accuracy,"Sander et al. ; from Pfeiffer and Peter 2004, date of census was between 4 to 12 JAN"
PENG,14,22,1,1,SH,12/xx/2000,NA,2000,792,1,Est. accuracy,"Sander et al. ; from Pfeiffer and Peter 2004, date of census was between 16 and 21 DEC"
PENG,14,25,1,1,SH,12/xx/2003,NA,2003,684,1,Est. accuracy,Sander et al. 
PENG,14,32,1,1,SH,12/6/10,36,2010,231,1,,ASI
PTHO,16,1,1,1,SH,xx/xx/1979(80),NA,1979,17905,2,Assume acc=2,Jablonski 1984
PTHO,16,2,1,1,SH,xx/xx/1980(81),NA,1980,9310,2,Assume acc=2,Jablonski 1984
PTHO,16,3,1,1,SH,xx/xx/1981(82),NA,1981,10241,2,Assume acc=2,Table from Tom Hart
PTHO,16,8,1,1,SH,xx/xx/1986(87),NA,1986,9320,3,No info. on N vs. C but assume N; Assume acc=3,WC97
PTHO,16,10,1,1,SH,xx/xx/1988(89),NA,1988,10220,2,,WC97
PTHO,16,11,1,1,SH,xx/xx/1989(90),NA,1989,8045,2,Assume acc=2,Table from Tom Hart
